"timeStamp","plate","description","created","totalDue","paid","scannedTime"
"Mon Feb 18 2019 15:41:13 GMT-0400 (Venezuela Time)","PBX181","","Mon Feb 18 2019 15:41:13 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 07:37:49 GMT-0400 (Venezuela Time)","PCX6080","","Tue Feb 19 2019 07:37:49 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 07:38:14 GMT-0400 (Venezuela Time)","PCX6080","","Tue Feb 19 2019 07:38:14 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 07:38:37 GMT-0400 (Venezuela Time)","PCX6080","","Tue Feb 19 2019 07:38:37 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 07:39:44 GMT-0400 (Venezuela Time)","PCX6080","","Tue Feb 19 2019 07:39:44 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 07:40:33 GMT-0400 (Venezuela Time)","PCX6080","","Tue Feb 19 2019 07:40:33 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 07:48:17 GMT-0400 (Venezuela Time)","PBL1345","","Tue Feb 19 2019 07:48:17 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 07:53:48 GMT-0400 (Venezuela Time)","TCY665","","Tue Feb 19 2019 07:53:48 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 07:57:04 GMT-0400 (Venezuela Time)","TDP7316","","Tue Feb 19 2019 07:57:04 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:00:55 GMT-0400 (Venezuela Time)","PDM5024","","Tue Feb 19 2019 08:00:55 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:01:51 GMT-0400 (Venezuela Time)","PCZ2389","","Tue Feb 19 2019 08:01:51 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:07:29 GMT-0400 (Venezuela Time)","PBS4871","","Tue Feb 19 2019 08:07:29 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:08:56 GMT-0400 (Venezuela Time)","PDT4259","","Tue Feb 19 2019 08:08:56 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:10:43 GMT-0400 (Venezuela Time)","PDW1562","","Tue Feb 19 2019 08:10:43 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:14:48 GMT-0400 (Venezuela Time)","PDD2882","","Tue Feb 19 2019 08:14:48 GMT-0400 (Venezuela Time)","","",""
"Tue Feb 19 2019 08:16:45 GMT-0400 (Venezuela Time)","PCL9535","","Tue Feb 19 2019 08:16:45 GMT-0400 (Venezuela Time)","","",""
